sno,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,sarima,Lasso ,Ridge ,Random Forest ,Adaboost ,XGBoost,tot
142.0,17.307692307692307,13.461538461538462,9.615384615384617,11.538461538461538,11.538461538461538,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,52
143.0,13.88888888888889,8.333333333333332,6.944444444444445,8.333333333333332,8.333333333333332,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,72
144.0,15.517241379310345,13.793103448275861,10.344827586206897,13.793103448275861,12.068965517241379,6.896551724137931,6.896551724137931,6.896551724137931,6.896551724137931,6.896551724137931,58
145.0,20.0,25.0,15.0,17.5,4095732731787567.0,10.0,10.0,10.0,10.0,10.0,40
146.0,21.73913043478261,23.91304347826087,19.565217391304348,21.73913043478261,1750388202.173913,13.043478260869565,13.043478260869565,13.043478260869565,13.043478260869565,13.043478260869565,46
147.0,18.75,21.875,15.625,18.75,15.625,12.5,12.5,12.5,12.5,12.5,32
148.0,14.705882352941178,11.76470588235294,7.352941176470589,8.823529411764707,8.823529411764707,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,68
149.0,25.806451612903224,30.64516129032258,16.129032258064516,22.58064516129032,1.0104320830653927e+25,8.064516129032258,8.064516129032258,8.064516129032258,8.064516129032258,9.67741935483871,62
150.0,21.052631578947366,21.052631578947366,15.789473684210526,18.421052631578945,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,38
151.0,17.647058823529413,17.647058823529413,14.705882352941178,14.705882352941178,14.705882352941178,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,34
152.0,27.500000000000004,30.0,20.0,25.0,17.5,12.5,12.5,12.5,12.5,12.5,40
154.0,15.789473684210526,15.789473684210526,13.157894736842104,13.157894736842104,2.6970676205579e+18,7.894736842105263,10.526315789473683,10.526315789473683,7.894736842105263,10.526315789473683,38
155.0,16.666666666666664,20.0,13.333333333333334,16.666666666666664,1.0188787083534053e+20,10.0,10.0,10.0,10.0,10.0,30
156.0,21.052631578947366,18.421052631578945,13.157894736842104,15.789473684210526,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,38
157.0,19.047619047619047,21.428571428571427,11.904761904761903,16.666666666666664,11.904761904761903,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,42
158.0,22.916666666666664,22.916666666666664,14.583333333333334,18.75,14.583333333333334,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,48
159.0,19.444444444444446,16.666666666666664,13.88888888888889,13.88888888888889,2.3868965856285577e+19,8.333333333333332,8.333333333333332,11.11111111111111,8.333333333333332,11.11111111111111,36
161.0,19.642857142857142,17.857142857142858,10.714285714285714,14.285714285714285,10.714285714285714,7.142857142857142,5.357142857142857,7.142857142857142,5.357142857142857,7.142857142857142,56
162.0,22.857142857142858,24.285714285714285,12.857142857142856,18.571428571428573,12.857142857142856,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,8.571428571428571,70
163.0,22.22222222222222,22.22222222222222,11.11111111111111,15.277777777777779,9.722222222222223,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,6.944444444444445,72
164.0,17.857142857142858,16.071428571428573,12.5,14.285714285714285,12.5,8.928571428571429,8.928571428571429,8.928571428571429,8.928571428571429,8.928571428571429,56
165.0,17.741935483870968,11.29032258064516,8.064516129032258,9.67741935483871,9.67741935483871,6.451612903225806,6.451612903225806,6.451612903225806,6.451612903225806,6.451612903225806,62
166.0,17.647058823529413,14.705882352941178,11.76470588235294,11.76470588235294,11.76470588235294,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,34
167.0,18.0,18.0,14.000000000000002,16.0,12.0,8.0,8.0,10.0,8.0,10.0,50
169.0,18.181818181818183,18.181818181818183,13.636363636363635,15.909090909090908,15.909090909090908,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,44
170.0,20.0,20.0,12.0,16.0,,6.0,6.0,8.0,6.0,8.0,50
171.0,18.421052631578945,15.789473684210526,10.526315789473683,13.157894736842104,10.526315789473683,7.894736842105263,7.894736842105263,7.894736842105263,7.894736842105263,7.894736842105263,38
172.0,20.833333333333336,20.833333333333336,16.666666666666664,20.833333333333336,3015919883.333333,12.5,12.5,12.5,12.5,16.666666666666664,24
173.0,21.428571428571427,21.428571428571427,14.285714285714285,17.857142857142858,16.071428571428573,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,56
174.0,22.916666666666664,16.666666666666664,14.583333333333334,16.666666666666664,,10.416666666666668,10.416666666666668,12.5,10.416666666666668,12.5,48
175.0,23.076923076923077,23.076923076923077,15.384615384615385,19.230769230769234,17.307692307692307,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,52
176.0,22.340425531914892,23.404255319148938,12.76595744680851,17.02127659574468,10.638297872340425,6.382978723404255,5.319148936170213,6.382978723404255,5.319148936170213,6.382978723404255,94
177.0,20.0,22.5,12.5,17.5,12.5,7.5,7.5,7.5,7.5,10.0,40
178.0,21.875,25.0,15.625,18.75,15.625,9.375,9.375,9.375,9.375,9.375,32
179.0,25.0,28.846153846153843,13.461538461538462,21.153846153846153,13.461538461538462,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,52
180.0,12.5,7.5,5.0,7.5,7.5,5.0,5.0,5.0,5.0,5.0,40
181.0,15.384615384615385,15.384615384615385,13.461538461538462,13.461538461538462,15.384615384615385,9.615384615384617,9.615384615384617,9.615384615384617,9.615384615384617,9.615384615384617,52
182.0,20.0,22.0,14.000000000000002,18.0,16.0,10.0,10.0,10.0,10.0,10.0,50
183.0,18.75,21.875,15.625,18.75,18.75,12.5,12.5,12.5,12.5,12.5,32
184.0,19.047619047619047,19.047619047619047,9.523809523809524,14.285714285714285,9.523809523809524,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,42
186.0,23.170731707317074,24.390243902439025,14.634146341463413,18.29268292682927,13.414634146341465,8.536585365853659,7.317073170731707,7.317073170731707,8.536585365853659,8.536585365853659,82
187.0,20.588235294117645,17.647058823529413,14.705882352941178,17.647058823529413,17.647058823529413,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,34
188.0,14.285714285714285,14.285714285714285,8.928571428571429,10.714285714285714,8.928571428571429,5.357142857142857,5.357142857142857,5.357142857142857,5.357142857142857,5.357142857142857,56
189.0,23.684210526315788,26.31578947368421,15.789473684210526,21.052631578947366,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,38
191.0,15.517241379310345,10.344827586206897,6.896551724137931,8.620689655172415,8.620689655172415,5.172413793103448,5.172413793103448,5.172413793103448,5.172413793103448,5.172413793103448,58
192.0,15.909090909090908,13.636363636363635,9.090909090909092,11.363636363636363,11.363636363636363,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,44
193.0,19.444444444444446,19.444444444444446,11.11111111111111,16.666666666666664,11.11111111111111,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,36
194.0,22.0,18.0,12.0,14.000000000000002,12.0,8.0,8.0,8.0,8.0,8.0,50
195.0,20.0,22.0,16.0,18.0,2.577720620649154e+20,10.0,10.0,10.0,10.0,10.0,50
196.0,12.5,12.5,8.333333333333332,12.5,12.5,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,24
197.0,20.588235294117645,23.52941176470588,14.705882352941178,17.647058823529413,17.647058823529413,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,34
201.0,18.181818181818183,18.181818181818183,11.363636363636363,13.636363636363635,11.363636363636363,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,44
202.0,18.333333333333332,16.666666666666664,11.666666666666666,15.0,13.333333333333334,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,60
203.0,22.5,25.0,12.5,17.5,12.5,7.5,7.5,7.5,7.5,10.0,40
204.0,16.666666666666664,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,42
205.0,20.833333333333336,20.833333333333336,12.5,16.666666666666664,16.666666666666664,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,24
206.0,18.75,15.625,9.375,12.5,12.5,6.25,6.25,6.25,6.25,6.25,32
207.0,16.666666666666664,10.0,6.666666666666667,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667,30
208.0,23.91304347826087,26.08695652173913,13.043478260869565,17.391304347826086,10.869565217391305,6.521739130434782,6.521739130434782,6.521739130434782,6.521739130434782,6.521739130434782,46
209.0,19.047619047619047,16.666666666666664,9.523809523809524,14.285714285714285,11.904761904761903,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,42
210.0,23.333333333333332,26.666666666666668,16.666666666666664,21.666666666666668,15.0,10.0,10.0,10.0,10.0,10.0,60
211.0,15.0,12.5,7.5,10.0,10.0,5.0,5.0,5.0,5.0,7.5,40
212.0,16.0,14.000000000000002,10.0,12.0,10.0,6.0,6.0,6.0,6.0,8.0,50
213.0,20.0,20.0,13.333333333333334,16.666666666666664,16.666666666666664,10.0,10.0,10.0,10.0,10.0,30
214.0,14.814814814814813,11.11111111111111,7.4074074074074066,9.25925925925926,7.4074074074074066,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,54
215.0,24.193548387096776,19.35483870967742,14.516129032258066,17.741935483870968,16.129032258064516,11.29032258064516,11.29032258064516,11.29032258064516,11.29032258064516,11.29032258064516,62
216.0,16.0,16.0,10.0,14.000000000000002,10.0,6.0,6.0,6.0,6.0,8.0,50
217.0,17.5,17.5,15.0,17.5,15.0,10.0,10.0,10.0,10.0,12.5,40
218.0,21.428571428571427,23.809523809523807,14.285714285714285,19.047619047619047,16.666666666666664,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,42
219.0,18.421052631578945,18.421052631578945,15.789473684210526,15.789473684210526,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,38
