,model,name,sno,results,best_param,RMSE,time
4,XGBoost,All_Feature,19,"[4.32902257440885, 3.8557901545766184, 3.853791224562521]","{'booster': 'gblinear', 'eta': 4e-19, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 160}",3.883826355,28.5485723
0,Lasso ,All_Feature,21,"[6.149070006699204, 6.153680091953869, 6.256188029563931]",{'alpha': 0.016},6.170756918,1.765237808
1,Ridge ,All_Feature,21,"[6.159947553501885, 6.166716370366394, 6.1838347729891865]",{'alpha': 20.0},6.168673375,10.21665907
2,Random Forest ,All_Feature,21,"[6.1622751824153275, 6.086556131326749, 6.088747229166547]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 185}",5.991113562,158.7058895
3,Adaboost ,All_Feature,21,"[8.329862162633685, 6.190848722437135, 6.194482562140565]","{'learning_rate': 3.0000000000000004e-05, 'loss': 'square', 'n_estimators': 130}",6.187295228,82.04480886
4,XGBoost,All_Feature,21,"[6.781698082834827, 6.332866329679162, 6.351110092400048]","{'booster': 'gblinear', 'eta': 5.0000000000000005e-17, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 160}",6.300913497,28.488626
0,Lasso ,All_Feature,22,"[5.126043566865322, 5.162912321217986, 5.3808464875767]",{'alpha': 0.037000000000000005},4.972900753,1.869082928
1,Ridge ,All_Feature,22,"[5.128090142018232, 5.137865970227673, 5.1570462721887855]",{'alpha': 18.0},4.950895899,10.20959401
2,Random Forest ,All_Feature,22,"[5.1832508777726, 5.135177142295253, 5.1337838793306085]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 195}",4.953555452,144.1158035
3,Adaboost ,All_Feature,22,"[6.6899237679480414, 5.165948912686276, 5.165893115735945]","{'learning_rate': 2e-08, 'loss': 'square', 'n_estimators': 160}",4.985677832,96.21826839
4,XGBoost,All_Feature,22,"[6.295297870061286, 5.335365903558373, 5.332534634637264]","{'booster': 'gblinear', 'eta': 6.0000000000000004e-18, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",5.143933695,29.27455068
0,Lasso ,All_Feature,23,"[3.4859109235493424, 3.475055624320435, 3.5363886367172515]",{'alpha': 0.005},3.373768662,1.712050915
1,Ridge ,All_Feature,23,"[3.5171973416965914, 3.5253011699254575, 3.5382005344225758]",{'alpha': 17.0},3.442017876,10.13932872
2,Random Forest ,All_Feature,23,"[3.520903504708124, 3.4589575955674365, 3.4602851598426367]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 160}",3.368036958,138.9021049
3,Adaboost ,All_Feature,23,"[4.9673371017389805, 3.56327241127791, 3.575464375745803]","{'learning_rate': 0.02, 'loss': 'square', 'n_estimators': 20}",3.501510486,52.13422394
4,XGBoost,All_Feature,23,"[3.950587706671707, 3.610974861761058, 3.5748633776776053]","{'booster': 'gblinear', 'eta': 6.000000000000001e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",3.484827389,29.30243015
0,Lasso ,All_Feature,24,"[5.580940648841942, 5.563829135566498, 6.019176336124168]",{'alpha': 0.023},5.505100624,1.772942305
1,Ridge ,All_Feature,24,"[5.4700308789602134, 5.469787398611562, 5.474922064931669]",{'alpha': 7.0},5.415556618,10.28207707
2,Random Forest ,All_Feature,24,"[6.452380340069487, 6.001841700289477, 6.002734627060477]","{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 165}",5.932986911,175.0725446
3,Adaboost ,All_Feature,24,"[6.6680551879165515, 5.499396444577039, 5.4864279838116845]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 15}",5.44562979,42.93771052
4,XGBoost,All_Feature,24,"[6.4959665608458605, 5.9268201972841466, 5.935183051970674]","{'booster': 'gblinear', 'eta': 1e-18, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 165}",5.705020483,28.6638341
0,Lasso ,All_Feature,25,"[3.998150409324521, 3.9962371178480764, 4.053312471564493]",{'alpha': 0.021},4.022917017,1.769621372
1,Ridge ,All_Feature,25,"[3.9825340759668912, 3.989469575750686, 4.000883078081932]",{'alpha': 22.0},3.991317266,10.09046125
2,Random Forest ,All_Feature,25,"[3.9293361596535616, 3.9038667794537125, 3.902008113072044]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 185}",3.936652006,145.4551022
3,Adaboost ,All_Feature,25,"[4.8974171081234195, 4.00479806383694, 4.00479806383694]","{'learning_rate': 1e-06, 'loss': 'square', 'n_estimators': 40}",4.009569095,52.38314366
4,XGBoost,All_Feature,25,"[4.58248206612633, 4.057864380744077, 4.056663406552536]","{'booster': 'gblinear', 'eta': 1e-20, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 140}",4.13661567,27.89261007
0,Lasso ,All_Feature,26,"[5.118328761893539, 5.13013931022378, 5.50416001637956]",{'alpha': 0.030000000000000002},5.449593563,1.842806816
1,Ridge ,All_Feature,26,"[5.0082543647005116, 5.009409826954427, 5.008241576138369]",{'alpha': 0.99},5.282539532,10.26432037
2,Random Forest ,All_Feature,26,"[5.311419473651628, 5.307379427357787, 5.352922914411961]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 15}",5.350025373,112.5754776
3,Adaboost ,All_Feature,26,"[6.684736446325493, 5.010096544316663, 5.007932467769627]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 150}",5.282827092,96.34273028
4,XGBoost,All_Feature,26,"[6.115749485100948, 5.375254021273233, 5.359017152590939]","{'booster': 'gblinear', 'eta': 8e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",5.784022943,28.8710804
0,Lasso ,All_Feature,27,"[4.695105185970605, 4.716419536735739, 4.919419648881939]",{'alpha': 0.019000000000000003},4.888798482,1.807062864
1,Ridge ,All_Feature,27,"[4.734613741541533, 4.727137811640463, 4.748718677523199]",{'alpha': 6.0},4.935061856,10.24292731
2,Random Forest ,All_Feature,27,"[4.819056620584146, 4.752424754028987, 4.752424754028987]","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 120}",4.917908869,133.1655729
3,Adaboost ,All_Feature,27,"[5.542057931574149, 4.750730251013004, 4.752336655841345]","{'learning_rate': 1e-06, 'loss': 'square', 'n_estimators': 65}",4.946103079,66.74003124
4,XGBoost,All_Feature,27,"[5.317295236810798, 4.941203901093877, 4.942944035341398]","{'booster': 'gblinear', 'eta': 9e-19, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 190}",5.08225035,28.7726171
0,Lasso ,All_Feature,29,"[4.4699916744106725, 4.489897558104095, 4.992886278507562]",{'alpha': 0.022000000000000002},4.515924045,1.788076162
1,Ridge ,All_Feature,29,"[4.350804991855384, 4.37094058558388, 4.37094058558388]",{'alpha': 6.9},4.412296367,10.18273044
2,Random Forest ,All_Feature,29,"[4.212445467336832, 4.192255256461456, 4.188162828670816]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 135}",4.497649805,147.1657999
3,Adaboost ,All_Feature,29,"[5.205567072168689, 4.376215592038198, 4.376806016390568]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 130}",4.451620364,87.58987808
4,XGBoost,All_Feature,29,"[4.3917383510819015, 4.840889128994117, 4.842263780163203]","{'booster': 'gblinear', 'eta': 3e-17, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 195}",4.743046459,28.78899837
0,Lasso ,All_Feature,30,"[6.05211480078875, 6.052114788242918, 6.98027527616543]",{'alpha': 1e-09},5.910760051,1.781235456
1,Ridge ,All_Feature,30,"[5.7273887010135915, 5.7252848601217, 5.7252848601217]",{'alpha': 4.9},5.522976324,10.09996653
2,Random Forest ,All_Feature,30,"[6.138173685074663, 6.0673680798034, 6.065681536725622]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 190}",5.420774825,150.8776863
3,Adaboost ,All_Feature,30,"[6.985886413961207, 5.725521541663133, 5.726596996290958]","{'learning_rate': 8e-06, 'loss': 'square', 'n_estimators': 70}",5.540929125,58.4587543
4,XGBoost,All_Feature,30,"[6.41322122146686, 6.669461280506018, 6.654209204225524]","{'booster': 'gblinear', 'eta': 8e-20, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 195}",6.096481104,28.71220565
0,Lasso ,All_Feature,31,"[4.173556166340547, 4.169038984843459, 4.285667512470702]",{'alpha': 0.007},3.752704057,1.711409569
1,Ridge ,All_Feature,31,"[4.150682745251356, 4.150682745302518, 4.150087171359038]",{'alpha': 9.9e-08},3.747338927,10.15684819
2,Random Forest ,All_Feature,31,"[4.361695260595453, 4.267509336630186, 4.27008966007713]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 185}",3.828380946,151.0182805
3,Adaboost ,All_Feature,31,"[4.6565998694103055, 4.152492056281473, 4.159041868577413]","{'learning_rate': 0.003, 'loss': 'square', 'n_estimators': 190}",3.770790114,104.1116257
4,XGBoost,All_Feature,31,"[4.935667312668429, 4.291487544743892, 4.302210381891969]","{'booster': 'gblinear', 'eta': 9e-19, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 125}",3.831290136,27.77481604
0,Lasso ,All_Feature,32,"[4.233170278973654, 4.235350643196229, 4.468089599298804]",{'alpha': 0.024},4.365461942,1.722771883
1,Ridge ,All_Feature,32,"[4.219025095792133, 4.219025095955622, 4.217293255174343]",{'alpha': 9.9e-08},4.350291573,10.16183424
2,Random Forest ,All_Feature,32,"[4.288506196720959, 4.32913440114302, 4.332818616058305]","{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 85}",4.36420194,112.8587654
3,Adaboost ,All_Feature,32,"[5.201955850553771, 4.227661563761988, 4.239354220456594]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 5}",4.364368802,43.87883759
4,XGBoost,All_Feature,32,"[4.6777161904207984, 4.443243086267631, 4.4470573484109375]","{'booster': 'gblinear', 'eta': 1e-18, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 160}",4.560783371,29.14604354
0,Lasso ,All_Feature,33,"[4.004117374058701, 4.0041173406855854, 4.354099728094599]",{'alpha': 1e-09},3.860082847,1.714419842
1,Ridge ,All_Feature,33,"[3.9256297690697726, 3.925629769232135, 3.923952617098291]",{'alpha': 9.9e-08},3.746207275,10.05217028
2,Random Forest ,All_Feature,33,"[4.067273083783479, 4.03240415102808, 4.02212647355564]","{'max_depth': 50, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",3.76083343,134.7068918
